skirt_name;skirt_price;skirt_color;skirt_material;skirt_origin;skirt_image1;skirt_image2;skirt_image3
SLIM-FIT PENCIL SKIRT IN VIRGIN WOOL;399;Black;Virgin Wool;Italy;https://images.hugoboss.com/is/image/boss/hbna50490036_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692719806000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490036_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692719806000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490036_001_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692719806000&wid=1200&hei=1818&fmt=webp
SLIM-FIT PENCIL SKIRT IN VIRGIN WOOL BL;399;Blue;Virgin Wool;Italy;https://images.hugoboss.com/is/image/boss/hbna50490036_404_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689090893000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490036_404_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689090893000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490036_404_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689090893000&wid=1200&hei=1818&fmt=webp
PENCIL SKIRT IN ITALIAN STRETCH VIRGIN WOOL;249;Black;Virgin Wool;Italy;https://images.hugoboss.com/is/image/boss/hbna50291813_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50291813_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50291813_001_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp
PENCIL SKIRT IN ITALIAN STRETCH VIRGIN WOOL BL;249;Blue;Virgin Wool;Italy;https://images.hugoboss.com/is/image/boss/hbna50291813_411_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50291813_411_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50291813_411_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1686297866000&wid=1200&hei=1818&fmt=webp
PENCIL SKIRT WITH SPLIT AND BUTTON-TRIMMED WAISTBAND;499;Blue;Virgin Wool;Italy;https://images.hugoboss.com/is/image/boss/hbna50503330_963_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936988000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50503330_963_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936988000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50503330_963_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936988000&wid=1200&hei=1818&fmt=webp
