blouse_name;blouse_price;blouse_color;blouse_material;blouse_origin;blouse_image1;blouse_image2;blouse_image3
REGULAR-FIT BLOUSE IN PURE SILK WITH PLEAT FRONT;399;White;Silk;Italy;https://images.hugoboss.com/is/image/boss/hbna50494739_118_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890085000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494739_118_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890085000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494739_118_341?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890085000&wid=1200&hei=1818&fmt=webp
LONGLINE BLOUSE IN COTTON POPLIN WITH POINT COLLAR;499;Black;Silk;Italy;https://images.hugoboss.com/is/image/boss/hbna50505133_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890087000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50505133_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890087000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50505133_001_341?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692890087000&wid=1200&hei=1818&fmt=webp
LONGLINE BLOUSE IN COTTON POPLIN WITH POINT COLLAR WH;499;White;Silk;Italy;https://images.hugoboss.com/is/image/boss/hbna50505133_100_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936989000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50505133_100_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936989000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50505133_100_341?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936989000&wid=1200&hei=1818&fmt=webp
SLEEVELESS REGULAR-FIT BLOUSE IN STRETCH SILK;399;White;Silk;Italy;https://images.hugoboss.com/is/image/boss/hbna50494157_118_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494157_118_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494157_118_360?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp
SLEEVELESS REGULAR-FIT BLOUSE IN STRETCH SILK BL;399;Blue;Silk;Italy;https://images.hugoboss.com/is/image/boss/hbna50494157_439_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494157_439_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494157_439_360?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936953000&wid=1200&hei=1818&fmt=webp
